"id","resource","action","description","category","created_at","updated_at"
"cmlk805rt000hhgwa27pu342o","players","delete","Delete players","Players","2026-02-13 01:40:06.938","2026-02-13 01:40:06.938"
"cmlk806sy000ihgwavjwmtw2c","matches","create","Create matches","Matches","2026-02-13 01:40:08.231","2026-02-13 01:40:08.231"
"cmlk807ap000jhgwaceku623c","matches","read","View matches","Matches","2026-02-13 01:40:08.897","2026-02-13 01:40:08.897"
"cmlk807r5000khgwaqh93hk57","matches","update","Edit matches","Matches","2026-02-13 01:40:09.510","2026-02-13 01:40:09.510"
"cmlk8087i000lhgwa025fhz2v","matches","delete","Delete matches","Matches","2026-02-13 01:40:10.099","2026-02-13 01:40:10.099"
"cmlk809fo000mhgwa7mwdcc6q","media","create","Upload media","Media","2026-02-13 01:40:11.669","2026-02-13 01:40:11.669"
"cmlk80a76000nhgwaqsal40vv","media","read","View media","Media","2026-02-13 01:40:12.315","2026-02-13 01:40:12.315"
"cmlk80apa000ohgwalissjn4e","media","update","Edit media","Media","2026-02-13 01:40:13.310","2026-02-13 01:40:13.310"
"cmlk80bfv000phgwaxthir0ec","media","delete","Delete media","Media","2026-02-13 01:40:14.281","2026-02-13 01:40:14.281"
"cmlk80cmk000qhgwa2i7d84q4","folders","create","Create folders","Media","2026-02-13 01:40:15.819","2026-02-13 01:40:15.819"
"cmlk80d3h000rhgwacuwdcyxk","folders","read","View folders","Media","2026-02-13 01:40:16.428","2026-02-13 01:40:16.428"
"cmlk80dlx000shgwac1pujtxv","folders","update","Edit folders","Media","2026-02-13 01:40:17.054","2026-02-13 01:40:17.054"
"cmlk80e47000thgwatrktf2lb","folders","delete","Delete folders","Media","2026-02-13 01:40:17.728","2026-02-13 01:40:17.728"
"cmlk80emb000uhgwaym3so341","news_articles","create","Create news articles","News","2026-02-13 01:40:18.363","2026-02-13 01:40:18.363"
"cmlk80f4a000vhgwafhk73pri","news_articles","read","View news articles","News","2026-02-13 01:40:19.032","2026-02-13 01:40:19.032"
